Month,Portfolio,Stocks,Weights,Forecasted_Return,Actual_Return,Volatility,Sharpe_Ratio,VaR_95
Jan_2025,Minimum_Risk,"CL,PG,SO,TXN,GILD,AAPL,MA,JNJ,SLV,MCD","0.020,0.020,0.383,0.020,0.020,0.020,0.020,0.279,0.198,0.020",0.016849995,0.038471105,0.007176079,2.115778581,50.46395039
Jan_2025,Moderate_Risk,"PEP,QCOM,CRM,BLK,GOLD,PLD,C,DE,ABBV,WFC","0.020,0.020,0.020,0.020,0.422,0.231,0.020,0.020,0.206,0.020",0.052359354,0.063626934,0.015285917,3.316278266,272.1625819
Jan_2025,High_Risk,"VZ,SLB,MMM,TSLA,WBA,LLY,OXY,AMT,CCI,DIS","0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100",-0.059552647,0.048372072,0.024034761,-2.547129397,-990.8631178
Feb_2025,Minimum_Risk,"PG,CSCO,CL,JNJ,GILD,TXN,HON,SLV,AAPL,BA","0.020,0.020,0.020,0.625,0.020,0.020,0.020,0.215,0.020,0.020",0.028655013,0.057538756,0.007857022,3.434891006,157.3136265
Feb_2025,Moderate_Risk,"BMY,GLW,MRK,ABBV,DUK,GS,ORCL,T,SCCO,AMD","0.356,0.020,0.195,0.256,0.051,0.020,0.036,0.020,0.027,0.020",0.06597763,0.008783032,0.015752098,4.082670899,400.6773725
Feb_2025,High_Risk,"ELV,TX,CVX,VZ,WBA,AMT,INTC,DIS,OXY,CCI","0.222,0.020,0.618,0.020,0.020,0.020,0.020,0.020,0.020,0.020",0.04229872,0.044284219,0.031034006,1.309264406,-87.47677407
Mar_2025,Minimum_Risk,"JNJ,CL,DHI,AAPL,AMGN,LMT,PG,UNP,SLV,MA","0.407,0.020,0.020,0.020,0.020,0.195,0.020,0.020,0.258,0.020",0.029693032,-0.006723071,0.009644186,2.906002768,138.297573
Mar_2025,Moderate_Risk,"T,SPGI,ZTS,YUM,ORCL,AMAT,C,BKNG,JPM,SLB","0.020,0.020,0.020,0.020,0.819,0.020,0.020,0.020,0.020,0.020",-0.010964978,-0.051002796,0.019452848,-0.649363926,-429.6206552
Mar_2025,High_Risk,"GM,CMCSA,F,TX,AMT,DIS,PFE,CCI,WBA,MMM","0.020,0.020,0.020,0.020,0.020,0.020,0.820,0.020,0.020,0.020",0.058390096,0.008561503,0.041897424,1.353856381,-105.250348
Apr_2025,Minimum_Risk,"JNJ,CL,AXP,AAPL,UNP,CI,LMT,HON,KMB,SLV","0.508,0.020,0.020,0.020,0.044,0.020,0.020,0.020,0.069,0.259",0.030654449,,0.010097536,2.870744738,140.4548011
Apr_2025,Moderate_Risk,"BAC,C,MDLZ,MSFT,GS,ECL,NOW,JPM,YUM,LRCX","0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100",-0.08226799,,0.019955316,-4.206147034,-1150.915658
Apr_2025,High_Risk,"CMCSA,DIS,TSLA,AMT,TX,WBA,META,PFE,CCI,MMM","0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.820,0.020,0.020",0.082478024,,0.043560344,1.855151171,108.2763379
